WeeksToGoal,WeeklyTotal,Mesocycle,Event
6,84 miles,Lactate Threshold + Endurance,Marathon-pace run 17 mi w/ 12 mi @ marathon pace
5,87 miles,Lactate Threshold + Endurance,Recovery 6 mi a.m. 4 mi p.m.
5,87 miles,Lactate Threshold + Endurance,General aerobic + speed 10 mi w/ 10x100 m strides
5,87 miles,Lactate Threshold + Endurance,Medium-long run 15 mi
5,87 miles,Lactate Threshold + Endurance,Recovery 6 mi a.m. 4 mi p.m.
5,87 miles,Lactate Threshold + Endurance,Lactate threshold 12 mi w/ 7 mi @ 15K to half marathon race pace
5,87 miles,Lactate Threshold + Endurance,General aerobic + speed 8 mi w/ 6x100 m strides
5,87 miles,Lactate Threshold + Endurance,Long run 22 mi
4,78-82 miles,Race Preparation,Recovery 6 mi a.m. 4 mi p.m.
4,78-82 miles,Race Preparation,VO2max 9 mi w/ 5x600 m @ 5k race pace
4,78-82 miles,Race Preparation,Medium-long run 15 mi a.m. Recovery 4 mi p.m.
4,78-82 miles,Race Preparation,Recovery + speed 7 mi w/ 6x100 m strides
4,78-82 miles,Race Preparation,Recovery 6 mi
4,78-82 miles,Race Preparation,8K-15K tune-up race
4,78-82 miles,Race Preparation,Long run 18 mi
3,83 miles,Race Preparation,Recovery 6 mi a.m. 4 mi p.m.
3,83 miles,Race Preparation,General aerobic 9 mi
3,83 miles,Race Preparation,VO2max 11 mi w/ 6x1000 m @ 5k race pace
3,83 miles,Race Preparation,Medium-long run 15 mi
3,83 miles,Race Preparation,General aerobic 10 mi
3,83 miles,Race Preparation,General aerobic + speed 8 mi w/ 6x100 m strides
3,83 miles,Race Preparation,Long run 20 mi
2,69-71 miles,Race Preparation,Recovery 6 mi a.m. 4 mi p.m.
2,69-71 miles,Race Preparation,VO2max 9 mi w/ 5x600 m @ 5k race pace
2,69-71 miles,Race Preparation,Medium-long run 12 mi
2,69-71 miles,Race Preparation,Recovery + speed 6 mi w/ 6x100 m strides
2,69-71 miles,Race Preparation,Recovery 6 mi
2,69-71 miles,Race Preparation,8K-10K tune-up race
2,69-71 miles,Race Preparation,Long run 17 mi
1,54 miles,Taper and Race,Recovery 6 mi
1,54 miles,Taper and Race,General aerobic + speed 8 mi w/ 8x100 m strides
1,54 miles,Taper and Race,Recovery 6 mi
1,54 miles,Taper and Race,VO2max 9 mi w/ 3x1600 m @ 5k race pace
1,54 miles,Taper and Race,Recovery 5 mi
1,54 miles,Taper and Race,General aerobic + speed 7 mi w/ 10x100 m strides
1,54 miles,Taper and Race,Medium-long run 13 mi
Race week,36 miles,Taper and Race,Recovery 6 mi
Race week,36 miles,Taper and Race,General aerobic 7 mi
Race week,36 miles,Taper and Race,Dress rehearsal 8 mi w/ 2 mi @ marathon race pace
Race week,36 miles,Taper and Race,Recovery 6 mi
Race week,36 miles,Taper and Race,Recovery 5 mi w 6x100 m strides
Race week,36 miles,Taper and Race,Recovery 4 mi
Race week,36 miles,Taper and Race,Goal marathon
